iteration	time	nReplicationsDone	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_AcetExtender2	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_MethExtender2	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetExtendToMeth	AcetCreator_boundPos	MethCreatorNN_boundPos	MethExtender_boundPos	AcetReduceToMeth_boundPos	AcetGapperInMeth_boundPos	AcetCleaner_boundPos	AcetFiller_boundPos	MethFillerNN_boundPos	AcetCreatorNN_boundPos	AcetExtender2_boundPos	MethCreator_boundPos	AcetExtender_boundPos	MethExtender2_boundPos	AcetEliminator_boundPos	MethEliminator_boundPos	MethFiller_boundPos	MethReduceToAcet_boundPos	AcetFillerNN_boundPos	MethCleaner_boundPos	MethExtendToAcet_boundPos	MethGapperInAcet_boundPos	AcetExtendToMeth_boundPos	phase
	0	0.000000	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1																							0
	1	0.470872	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	2	1	6	1	1																	0						0
	2	0.537275	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1																							0
	3	0.577432	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	2	1	6	1	1										0													0
	4	0.676227	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1																							0
	5	0.679480	0	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1				8																			0
	6	0.723010	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1																							0
	7	0.840455	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	5	1	1																				8			0
	9	1.000000	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1																							0
	10	1.004353	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1			22																				0
	11	1.005103	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1			22															10					0
	12	1.025361	1	1	1	0	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	6	1	1			22										5					10					0
	13	1.027117	1	1	1	0	1	1	1	2	1	1	1	1	1	0	1	1	1	1	2	1	6	1	1			22										5										0
	14	1.078706	1	1	1	0	1	1	1	2	1	1	0	1	1	0	1	1	1	1	2	1	6	1	1			22							24			5										0
	15	1.140979	1	1	0	0	1	1	1	2	1	1	0	1	1	0	1	1	1	1	2	1	6	1	1		38	22							24			5										0
	16	1.160501	1	1	0	0	1	1	1	2	1	0	0	1	1	0	1	1	1	1	2	1	6	1	1		38	22						14	24			5										0
	17	1.180879	1	1	0	0	1	1	1	2	1	0	1	1	1	0	1	1	1	1	2	1	6	1	1		38	22						14				5										0
	18	1.183338	1	1	0	1	1	1	1	2	1	0	1	1	1	0	1	1	1	1	2	1	6	1	1		38							14				5										0
