iteration	time	nReplicationsDone	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethExtender2	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_AcetExtender2	MethCleaner_boundPos	AcetFiller_boundPos	AcetCleaner_boundPos	AcetGapperInMeth_boundPos	MethExtendToAcet_boundPos	AcetExtendToMeth_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethExtender2_boundPos	AcetFillerNN_boundPos	MethExtender_boundPos	MethReduceToAcet_boundPos	MethFiller_boundPos	AcetExtender_boundPos	AcetCreator_boundPos	MethFillerNN_boundPos	AcetReduceToMeth_boundPos	MethCreator_boundPos	MethEliminator_boundPos	AcetExtender2_boundPos	phase
	0	0.000000	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	1	0.017234	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														23									0
	2	0.242048	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	3	0.425203	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											23												0
	4	0.429195	0	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1											23			39									0
	5	0.458396	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											23												0
	6	0.559398	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											23											39	0
	7	0.753983	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											23												0
	8	0.845465	0	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1											23			7									0
	9	0.867437	0	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	0	1	1	1											23			7					31				0
	10	1.049586	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														7					31				0
	11	1.106578	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														7									0
	12	1.199277	0	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1											31			7									0
	13	1.238943	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											31												0
	14	1.308745	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											31											7	0
	15	1.363532	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											31												0
	16	1.383459	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	17	1.800051	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			47				0
	18	1.938274	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	19	2.334954	0	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					47																		0
	20	2.335739	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	21	2.382008	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														31									0
	22	2.387992	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	23	2.427744	0	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					31																		0
	24	2.712563	0	1	2	1	1	5	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1					31									16									0
	25	2.842165	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														16									0
	26	3.082126	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														16					30				0
	27	3.127915	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														16									0
	28	3.133013	0	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1											30			16									0
	29	3.182123	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														16									0
	30	3.392809	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	31	3.394951	0	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					16																		0
	32	3.443300	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	33	3.663676	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														30									0
	34	3.729565	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														30					15				0
	35	3.746782	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														30									0
	36	3.784180	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0														30								15	0
	37	3.837057	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	0														30					46			15	0
	38	3.850752	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	0																			46			15	0
	39	3.870890	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0																						15	0
	40	3.878093	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											46											15	0
	41	3.918898	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											46												0
	42	4.035057	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											46											30	0
	43	4.066312	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0																						30	0
	44	4.265862	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	45	4.341992	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			45				0
	46	4.368565	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
