iteration	time	nReplicationsDone	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_AcetExtender2	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_MethExtender2	AcetGapperInMeth_boundPos	AcetCreator_boundPos	MethFiller_boundPos	AcetCleaner_boundPos	MethCreator_boundPos	MethExtender_boundPos	AcetReduceToMeth_boundPos	MethReduceToAcet_boundPos	AcetExtendToMeth_boundPos	AcetFillerNN_boundPos	MethCleaner_boundPos	AcetExtender_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	AcetExtender2_boundPos	MethFillerNN_boundPos	MethExtendToAcet_boundPos	AcetFiller_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethEliminator_boundPos	MethExtender2_boundPos	phase
	0	0.000000	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	1	0.319542	0	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1							79																0
	2	0.651509	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	3	0.661417	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0																						79	0
	4	0.700679	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	0								39														79	0
	5	0.779265	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1								39															0
	6	0.850761	0	1	1	1	1	1	1	0	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1							239	39															0
	7	0.882869	0	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1							239																0
	8	0.959289	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	9	1.004523	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1															239								0
	10	1.052562	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	5	2	1	1	1	1															239		39						0
	11	1.090150	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	5	2	1	1	1	1																	39						0
	12	1.352689	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	13	1.672319	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1								119															0
	14	1.903997	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	15	2.029685	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	5	2	1	1	1	1																	119						0
	16	2.132180	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	17	2.241590	0	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1							120																0
	18	2.469354	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	19	2.510199	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1								39															0
	20	2.513975	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	0								39														120	0
	21	2.599726	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0																						120	0
	22	2.613931	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	23	2.677755	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	6	2	1	1	1	1									39														0
	24	2.684300	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	25	2.857743	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1								38															0
	26	3.114362	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	27	3.132607	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1															38								0
	28	3.165849	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
	29	3.247898	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	6	2	1	1	1	1								199															0
	30	3.450287	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	1																							0
